Result,Address A,Size A,Address B,Size B
Difference,47F9h,1h,47F9h,1h
Match,47FAh,87Fh,47FAh,87Fh
Difference,5079h,1h,5079h,1h
Match,507Ah,18h,507Ah,18h
Difference,5092h,1h,5092h,1h
Match,5093h,29h,5093h,29h
Difference,50BCh,1h,50BCh,1h
Match,50BDh,16h,50BDh,16h
Difference,50D3h,1h,50D3h,1h
Match,50D4h,A0h,50D4h,A0h
Difference,5174h,2h,5174h,2h
Match,5176h,2h,5176h,2h
Difference,5178h,1h,5178h,1h
Match,5179h,3h,5179h,3h
Difference,517Ch,1h,517Ch,1h
Match,517Dh,9B5h,517Dh,9B5h
Difference,5B32h,1h,5B32h,1h
Match,5B33h,584h,5B33h,584h
Difference,60B7h,1h,60B7h,1h
Match,60B8h,BEh,60B8h,BEh
Difference,6176h,1h,6176h,1h
Match,6177h,13h,6177h,13h
Difference,618Ah,1h,618Ah,1h
Match,618Bh,160h,618Bh,160h
Difference,62EBh,1h,62EBh,1h
Match,62ECh,2BFh,62ECh,2BFh
Difference,65ABh,1h,65ABh,1h
Match,65ACh,614h,65ACh,614h
Difference,6BC0h,1h,6BC0h,1h
Match,6BC1h,13h,6BC1h,13h
Difference,6BD4h,1h,6BD4h,1h
Match,6BD5h,FAh,6BD5h,FAh
Difference,6CCFh,1h,6CCFh,1h
Match,6CD0h,6h,6CD0h,6h
Difference,6CD6h,1h,6CD6h,1h
Match,6CD7h,56h,6CD7h,56h
Difference,6D2Dh,1h,6D2Dh,1h
Match,6D2Eh,9h,6D2Eh,9h
Difference,6D37h,1h,6D37h,1h
Match,6D38h,3A3h,6D38h,3A3h
Difference,70DBh,1h,70DBh,1h
Match,70DCh,33h,70DCh,33h
Difference,710Fh,1h,710Fh,1h
Match,7110h,38h,7110h,38h
Difference,7148h,1h,7148h,1h
Match,7149h,35Ah,7149h,35Ah
Difference,74A3h,1h,74A3h,1h
Match,74A4h,3h,74A4h,3h
Difference,74A7h,1h,74A7h,1h
Match,74A8h,23h,74A8h,23h
Difference,74CBh,1h,74CBh,1h
Match,74CCh,B63h,74CCh,B63h
Difference,802Fh,1h,802Fh,1h
Match,8030h,Ah,8030h,Ah
Difference,803Ah,1h,803Ah,1h
Match,803Bh,7Fh,803Bh,7Fh
Difference,80BAh,1h,80BAh,1h
Match,80BBh,9h,80BBh,9h
Difference,80C4h,1h,80C4h,1h
Match,80C5h,4h,80C5h,4h
Difference,80C9h,1h,80C9h,1h
Match,80CAh,Fh,80CAh,Fh
Difference,80D9h,1h,80D9h,1h
Match,80DAh,3Eh,80DAh,3Eh
Difference,8118h,1h,8118h,1h
Match,8119h,1Dh,8119h,1Dh
Difference,8136h,1h,8136h,1h
Match,8137h,33h,8137h,33h
Difference,816Ah,1h,816Ah,1h
Match,816Bh,Eh,816Bh,Eh
Difference,8179h,1h,8179h,1h
Match,817Ah,CEh,817Ah,CEh
Difference,8248h,1h,8248h,1h
Match,8249h,3h,8249h,3h
Difference,824Ch,1h,824Ch,1h
Match,824Dh,1Ch,824Dh,1Ch
Difference,8269h,1h,8269h,1h
Match,826Ah,C2h,826Ah,C2h
Difference,832Ch,1h,832Ch,1h
Match,832Dh,3Dh,832Dh,3Dh
Difference,836Ah,1h,836Ah,1h
Match,836Bh,3Eh,836Bh,3Eh
Difference,83A9h,1h,83A9h,1h
Match,83AAh,22h,83AAh,22h
Difference,83CCh,1h,83CCh,1h
Match,83CDh,5h,83CDh,5h
Difference,83D2h,1h,83D2h,1h
Match,83D3h,63h,83D3h,63h
Difference,8436h,2h,8436h,2h
Match,8438h,68h,8438h,68h
Difference,84A0h,2h,84A0h,2h
Match,84A2h,59h,84A2h,59h
Difference,84FBh,1h,84FBh,1h
Match,84FCh,92h,84FCh,92h
Difference,858Eh,1h,858Eh,1h
Match,858Fh,2Fh,858Fh,2Fh
Difference,85BEh,2h,85BEh,2h
Match,85C0h,74h,85C0h,74h
Difference,8634h,1h,8634h,1h
Match,8635h,18h,8635h,18h
Difference,864Dh,1h,864Dh,1h
Match,864Eh,59h,864Eh,59h
Difference,86A7h,1h,86A7h,1h
Match,86A8h,6h,86A8h,6h
Difference,86AEh,1h,86AEh,1h
Match,86AFh,86h,86AFh,86h
Difference,8735h,1h,8735h,1h
Match,8736h,4Dh,8736h,4Dh
Difference,8783h,1h,8783h,1h
Match,8784h,68h,8784h,68h
Difference,87ECh,1h,87ECh,1h
Match,87EDh,3h,87EDh,3h
Difference,87F0h,1h,87F0h,1h
Match,87F1h,7h,87F1h,7h
Difference,87F8h,1h,87F8h,1h
Match,87F9h,7Dh,87F9h,7Dh
Difference,8876h,1h,8876h,1h
Match,8877h,19h,8877h,19h
Difference,8890h,1h,8890h,1h
Match,8891h,17h,8891h,17h
Difference,88A8h,1h,88A8h,1h
Match,88A9h,1Ch,88A9h,1Ch
Difference,88C5h,1h,88C5h,1h
Match,88C6h,25h,88C6h,25h
Difference,88EBh,1h,88EBh,1h
Match,88ECh,1h,88ECh,1h
Difference,88EDh,1h,88EDh,1h
Match,88EEh,1h,88EEh,1h
Difference,88EFh,1h,88EFh,1h
Match,88F0h,1h,88F0h,1h
Difference,88F1h,1h,88F1h,1h
Match,88F2h,Ch,88F2h,Ch
Difference,88FEh,1h,88FEh,1h
Match,88FFh,1h,88FFh,1h
Difference,8900h,1h,8900h,1h
Match,8901h,1h,8901h,1h
Difference,8902h,1h,8902h,1h
Match,8903h,1h,8903h,1h
Difference,8904h,1h,8904h,1h
Match,8905h,8h,8905h,8h
Difference,890Dh,1h,890Dh,1h
Match,890Eh,1h,890Eh,1h
Difference,890Fh,1h,890Fh,1h
Match,8910h,19h,8910h,19h
Difference,8929h,1h,8929h,1h
Match,892Ah,5h,892Ah,5h
Difference,892Fh,1h,892Fh,1h
Match,8930h,Eh,8930h,Eh
Difference,893Eh,1h,893Eh,1h
Match,893Fh,2Dh,893Fh,2Dh
Difference,896Ch,2h,896Ch,2h
Match,896Eh,1h,896Eh,1h
Difference,896Fh,1h,896Fh,1h
Match,8970h,50h,8970h,50h
Difference,89C0h,1h,89C0h,1h
Match,89C1h,8h,89C1h,8h
Difference,89C9h,1h,89C9h,1h
Match,89CAh,Dh,89CAh,Dh
Difference,89D7h,1h,89D7h,1h
Match,89D8h,17h,89D8h,17h
Difference,89EFh,1h,89EFh,1h
Match,89F0h,7h,89F0h,7h
Difference,89F7h,1h,89F7h,1h
Match,89F8h,12h,89F8h,12h
Difference,8A0Ah,1h,8A0Ah,1h
Match,8A0Bh,EDh,8A0Bh,EDh
Difference,8AF8h,1h,8AF8h,1h
Match,8AF9h,1Ch,8AF9h,1Ch
Difference,8B15h,1h,8B15h,1h
Match,8B16h,15Eh,8B16h,15Eh
Difference,8C74h,1h,8C74h,1h
Match,8C75h,Dh,8C75h,Dh
Difference,8C82h,1h,8C82h,1h
Match,8C83h,3Fh,8C83h,3Fh
Difference,8CC2h,1h,8CC2h,1h
Match,8CC3h,1Fh,8CC3h,1Fh
Difference,8CE2h,1h,8CE2h,1h
Match,8CE3h,5h,8CE3h,5h
Difference,8CE8h,1h,8CE8h,1h
Match,8CE9h,27h,8CE9h,27h
Difference,8D10h,1h,8D10h,1h
Match,8D11h,5Bh,8D11h,5Bh
Difference,8D6Ch,1h,8D6Ch,1h
Match,8D6Dh,14h,8D6Dh,14h
Difference,8D81h,1h,8D81h,1h
Match,8D82h,DCh,8D82h,DCh
Difference,8E5Eh,1h,8E5Eh,1h
Match,8E5Fh,25h,8E5Fh,25h
Difference,8E84h,1h,8E84h,1h
Match,8E85h,7h,8E85h,7h
Difference,8E8Ch,1h,8E8Ch,1h
Match,8E8Dh,16h,8E8Dh,16h
Difference,8EA3h,1h,8EA3h,1h
Match,8EA4h,2h,8EA4h,2h
Difference,8EA6h,1h,8EA6h,1h
Match,8EA7h,2h,8EA7h,2h
Difference,8EA9h,1h,8EA9h,1h
Match,8EAAh,12h,8EAAh,12h
Difference,8EBCh,1h,8EBCh,1h
Match,8EBDh,Ah,8EBDh,Ah
Difference,8EC7h,1h,8EC7h,1h
Match,8EC8h,12h,8EC8h,12h
Difference,8EDAh,1h,8EDAh,1h
Match,8EDBh,83h,8EDBh,83h
Difference,8F5Eh,1h,8F5Eh,1h
Match,8F5Fh,55h,8F5Fh,55h
Difference,8FB4h,1h,8FB4h,1h
Match,8FB5h,18h,8FB5h,18h
Difference,8FCDh,1h,8FCDh,1h
Match,8FCEh,Bh,8FCEh,Bh
Difference,8FD9h,1h,8FD9h,1h
Match,8FDAh,2h,8FDAh,2h
Difference,8FDCh,1h,8FDCh,1h
Match,8FDDh,12h,8FDDh,12h
Difference,8FEFh,1h,8FEFh,1h
Match,8FF0h,23h,8FF0h,23h
Difference,9013h,1h,9013h,1h
Match,9014h,5h,9014h,5h
Difference,9019h,1h,9019h,1h
Match,901Ah,2h,901Ah,2h
Difference,901Ch,1h,901Ch,1h
Match,901Dh,4h,901Dh,4h
Difference,9021h,1h,9021h,1h
Match,9022h,ACh,9022h,ACh
Difference,90CEh,1h,90CEh,1h
Match,90CFh,16h,90CFh,16h
Difference,90E5h,1h,90E5h,1h
Match,90E6h,19h,90E6h,19h
Difference,90FFh,1h,90FFh,1h
Match,9100h,27h,9100h,27h
Difference,9127h,1h,9127h,1h
Match,9128h,17h,9128h,17h
Difference,913Fh,1h,913Fh,1h
Match,9140h,7h,9140h,7h
Difference,9147h,1h,9147h,1h
Match,9148h,3h,9148h,3h
Difference,914Bh,1h,914Bh,1h
Match,914Ch,1h,914Ch,1h
Difference,914Dh,1h,914Dh,1h
Match,914Eh,12h,914Eh,12h
Difference,9160h,1h,9160h,1h
Match,9161h,27h,9161h,27h
Difference,9188h,1h,9188h,1h
Match,9189h,2h,9189h,2h
Difference,918Bh,1h,918Bh,1h
Match,918Ch,24h,918Ch,24h
Difference,91B0h,1h,91B0h,1h
Match,91B1h,Fh,91B1h,Fh
Difference,91C0h,1h,91C0h,1h
Match,91C1h,15h,91C1h,15h
Difference,91D6h,2h,91D6h,2h
Match,91D8h,1h,91D8h,1h
Difference,91D9h,1h,91D9h,1h
Match,91DAh,11h,91DAh,11h
Difference,91EBh,1h,91EBh,1h
Match,91ECh,8h,91ECh,8h
Difference,91F4h,1h,91F4h,1h
Match,91F5h,Ch,91F5h,Ch
Difference,9201h,1h,9201h,1h
Match,9202h,Fh,9202h,Fh
Difference,9211h,1h,9211h,1h
Match,9212h,2h,9212h,2h
Difference,9214h,1h,9214h,1h
Match,9215h,3h,9215h,3h
Difference,9218h,1h,9218h,1h
Match,9219h,12h,9219h,12h
Difference,922Bh,1h,922Bh,1h
Match,922Ch,18h,922Ch,18h
Difference,9244h,1h,9244h,1h
Match,9245h,29h,9245h,29h
Difference,926Eh,1h,926Eh,1h
Match,926Fh,1Fh,926Fh,1Fh
Difference,928Eh,1h,928Eh,1h
Match,928Fh,7h,928Fh,7h
Difference,9296h,2h,9296h,2h
Match,9298h,1h,9298h,1h
Difference,9299h,1h,9299h,1h
Match,929Ah,2h,929Ah,2h
Difference,929Ch,1h,929Ch,1h
Match,929Dh,2h,929Dh,2h
Difference,929Fh,1h,929Fh,1h
Match,92A0h,26h,92A0h,26h
Difference,92C6h,1h,92C6h,1h
Match,92C7h,26h,92C7h,26h
Difference,92EDh,1h,92EDh,1h
Match,92EEh,7h,92EEh,7h
Difference,92F5h,1h,92F5h,1h
Match,92F6h,22h,92F6h,22h
Difference,9318h,1h,9318h,1h
Match,9319h,7Eh,9319h,7Eh
Difference,9397h,1h,9397h,1h
Match,9398h,9h,9398h,9h
Difference,93A1h,2h,93A1h,2h
Match,93A3h,37h,93A3h,37h
Only in B,,,93DAh,5h
Match,93DAh,5h,93DFh,5h
Difference,93DFh,1h,93E4h,1h
Match,93E0h,3h,93E5h,3h
Difference,93E3h,1h,93E8h,1h
Match,93E4h,4h,93E9h,4h
Difference,93E8h,1h,93EDh,1h
Match,93E9h,2h,93EEh,2h
Difference,93EBh,1h,93F0h,1h
Match,93ECh,2h,93F1h,2h
Difference,93EEh,1h,93F3h,1h
Match,93EFh,2h,93F4h,2h
Difference,93F1h,1h,93F6h,1h
Match,93F2h,2h,93F7h,2h
Difference,93F4h,1h,93F9h,1h
Match,93F5h,Fh,93FAh,Fh
Difference,9404h,1h,9409h,1h
Match,9405h,Ah,940Ah,Ah
Difference,940Fh,1h,9414h,1h
Match,9410h,19h,9415h,19h
Difference,9429h,1h,942Eh,1h
Match,942Ah,1Ch,942Fh,1Ch
Difference,9446h,1h,944Bh,1h
Match,9447h,Bh,944Ch,Bh
Difference,9452h,1h,9457h,1h
Match,9453h,16h,9458h,16h
Difference,9469h,1h,946Eh,1h
Match,946Ah,10h,946Fh,10h
Difference,947Ah,1h,947Fh,1h
Match,947Bh,6h,9480h,6h
Difference,9481h,1h,9486h,1h
Match,9482h,7h,9487h,7h
Difference,9489h,1h,948Eh,1h
Match,948Ah,10h,948Fh,10h
Difference,949Ah,1h,949Fh,1h
Match,949Bh,4h,94A0h,4h
Difference,949Fh,1h,94A4h,1h
Match,94A0h,5h,94A5h,5h
Difference,94A5h,1h,94AAh,1h
Match,94A6h,2h,94ABh,2h
Difference,94A8h,1h,94ADh,1h
Match,94A9h,3Fh,94AEh,3Fh
Difference,94E8h,1h,94EDh,1h
Match,94E9h,96h,94EEh,96h
Difference,957Fh,1h,9584h,1h
Match,9580h,6h,9585h,6h
Difference,9586h,1h,958Bh,1h
Match,9587h,8h,958Ch,8h
Difference,958Fh,1h,9594h,1h
Match,9590h,32h,9595h,32h
Difference,95C2h,1h,95C7h,1h
Match,95C3h,21h,95C8h,21h
Difference,95E4h,1h,95E9h,1h
Match,95E5h,1Ah,95EAh,1Ah
Difference,95FFh,1h,9604h,1h
Match,9600h,9h,9605h,9h
Difference,9609h,1h,960Eh,1h
Match,960Ah,2Eh,960Fh,2Eh
Difference,9638h,1h,963Dh,1h
Match,9639h,1h,963Eh,1h
Difference,963Ah,1h,963Fh,1h
Match,963Bh,1h,9640h,1h
Difference,963Ch,1h,9641h,1h
Match,963Dh,1h,9642h,1h
Difference,963Eh,1h,9643h,1h
Match,963Fh,1h,9644h,1h
Difference,9640h,1h,9645h,1h
Match,9641h,1h,9646h,1h
Difference,9642h,1h,9647h,1h
Match,9643h,1h,9648h,1h
Difference,9644h,1h,9649h,1h
Match,9645h,1h,964Ah,1h
Difference,9646h,1h,964Bh,1h
Match,9647h,1h,964Ch,1h
Difference,9648h,1h,964Dh,1h
Match,9649h,1h,964Eh,1h
Difference,964Ah,1h,964Fh,1h
Match,964Bh,6h,9650h,6h
Difference,9651h,1h,9656h,1h
Match,9652h,9h,9657h,9h
Difference,965Bh,1h,9660h,1h
Match,965Ch,17h,9661h,17h
Difference,9673h,1h,9678h,1h
Match,9674h,25h,9679h,25h
Difference,9699h,1h,969Eh,1h
Match,969Ah,8h,969Fh,8h
Difference,96A2h,1h,96A7h,1h
Match,96A3h,9h,96A8h,9h
Difference,96ACh,1h,96B1h,1h
Match,96ADh,14h,96B2h,14h
Difference,96C1h,1h,96C6h,1h
Match,96C2h,14h,96C7h,14h
Difference,96D6h,1h,96DBh,1h
Match,96D7h,9h,96DCh,9h
Difference,96E0h,1h,96E5h,1h
Match,96E1h,9h,96E6h,9h
Difference,96EAh,1h,96EFh,1h
Match,96EBh,15h,96F0h,15h
Difference,9700h,1h,9705h,1h
Match,9701h,2h,9706h,2h
Difference,9703h,1h,9708h,1h
Match,9704h,2h,9709h,2h
Difference,9706h,1h,970Bh,4h
Match,9707h,5h,970Fh,5h
Difference,970Ch,1h,9714h,1h
Match,970Dh,12h,9715h,12h
Difference,971Fh,1h,9727h,1h
Match,9720h,15h,9728h,15h
Difference,9735h,1h,973Dh,1h
Match,9736h,3h,973Eh,3h
Only in B,,,9741h,4h
Match,9739h,1h,9745h,1h
Difference,973Ah,1h,9746h,1h
Match,973Bh,Bh,9747h,Bh
Difference,9746h,1h,9752h,1h
Match,9747h,2h,9753h,2h
Difference,9749h,1h,9755h,1h
Match,974Ah,2h,9756h,2h
Difference,974Ch,1h,9758h,1h
Match,974Dh,1h,9759h,1h
Only in B,,,975Ah,3h
Match,974Eh,13h,975Dh,13h
Difference,9761h,1h,9770h,1h
Match,9762h,5h,9771h,5h
Difference,9767h,1h,9776h,1h
Match,9768h,68h,9777h,68h
Difference,97D0h,1h,97DFh,1h
Match,97D1h,2h,97E0h,2h
Difference,97D3h,1h,97E2h,1h
Match,97D4h,4h,97E3h,4h
Difference,97D8h,1h,97E7h,1h
Match,97D9h,2h,97E8h,2h
Difference,97DBh,1h,97EAh,1h
Match,97DCh,Bh,97EBh,Bh
Difference,97E7h,1h,97F6h,1h
Match,97E8h,2h,97F7h,2h
Difference,97EAh,1h,97F9h,1h
Match,97EBh,2h,97FAh,2h
Difference,97EDh,1h,97FCh,1h
Match,97EEh,19h,97FDh,19h
Difference,9807h,1h,9816h,1h
Match,9808h,5Dh,9817h,5Dh
Difference,9865h,1h,9874h,1h
Match,9866h,2h,9875h,2h
Difference,9868h,1h,9877h,1h
Match,9869h,Ch,9878h,Ch
Difference,9875h,1h,9884h,1h
Match,9876h,2h,9885h,2h
Difference,9878h,1h,9887h,1h
Match,9879h,Ch,9888h,Ch
Difference,9885h,1h,9894h,1h
Match,9886h,2h,9895h,2h
Difference,9888h,1h,9897h,1h
Match,9889h,1Eh,9898h,1Eh
Difference,98A7h,1h,98B6h,1h
Match,98A8h,10h,98B7h,10h
Difference,98B8h,1h,98C7h,1h
Match,98B9h,2h,98C8h,2h
Difference,98BBh,1h,98CAh,1h
Match,98BCh,2h,98CBh,2h
Difference,98BEh,1h,98CDh,1h
Match,98BFh,4h,98CEh,4h
Only in B,,,98D2h,8h
Match,98C3h,20h,98DAh,20h
Difference,98E3h,2h,98FAh,2h
Match,98E5h,1h,98FCh,1h
Difference,98E6h,1h,98FDh,1h
Match,98E7h,11h,98FEh,11h
Difference,98F8h,1h,990Fh,1h
Match,98F9h,Ah,9910h,Ah
Difference,9903h,1h,991Ah,1h
Match,9904h,9h,991Bh,9h
Difference,990Dh,1h,9924h,1h
Match,990Eh,Ah,9925h,Ah
Difference,9918h,1h,992Fh,1h
Match,9919h,2h,9930h,2h
Difference,991Bh,1h,9932h,1h
Match,991Ch,2h,9933h,2h
Difference,991Eh,1h,9935h,1h
Match,991Fh,1Fh,9936h,1Fh
Difference,993Eh,1h,9955h,1h
Match,993Fh,1Bh,9956h,1Bh
Difference,995Ah,1h,9971h,1h
Match,995Bh,53h,9972h,53h
Difference,99AEh,1h,99C5h,1h
Match,99AFh,9h,99C6h,9h
Difference,99B8h,1h,99CFh,1h
Match,99B9h,34h,99D0h,34h
Difference,99EDh,1h,9A04h,1h
Match,99EEh,8h,9A05h,8h
Difference,99F6h,1h,9A0Dh,1h
Match,99F7h,10h,9A0Eh,10h
Difference,9A07h,1h,9A1Eh,1h
Match,9A08h,Ch,9A1Fh,Ch
Difference,9A14h,1h,9A2Bh,1h
Match,9A15h,81h,9A2Ch,81h
Difference,9A96h,1h,9AADh,1h
Match,9A97h,6h,9AAEh,6h
Difference,9A9Dh,1h,9AB4h,1h
Match,9A9Eh,13h,9AB5h,13h
Difference,9AB1h,1h,9AC8h,1h
Match,9AB2h,6h,9AC9h,6h
Difference,9AB8h,1h,9ACFh,1h
Match,9AB9h,Ah,9AD0h,Ah
Difference,9AC3h,2h,9ADAh,2h
Match,9AC5h,85h,9ADCh,85h
Difference,9B4Ah,2h,9B61h,2h
Match,9B4Ch,1Dh,9B63h,1Dh
Difference,9B69h,1h,9B80h,1h
Match,9B6Ah,2h,9B81h,2h
Difference,9B6Ch,1h,9B83h,1h
Match,9B6Dh,5h,9B84h,5h
Difference,9B72h,1h,9B89h,1h
Match,9B73h,Ah,9B8Ah,Ah
Difference,9B7Dh,1h,9B94h,1h
Match,9B7Eh,1Fh,9B95h,1Fh
Difference,9B9Dh,1h,9BB4h,1h
Match,9B9Eh,1Ah,9BB5h,1Ah
Difference,9BB8h,1h,9BCFh,1h
Match,9BB9h,2Dh,9BD0h,2Dh
Difference,9BE6h,1h,9BFDh,1h
Match,9BE7h,5h,9BFEh,5h
Difference,9BECh,1h,9C03h,1h
Match,9BEDh,2h,9C04h,2h
Difference,9BEFh,1h,9C06h,1h
Match,9BF0h,Ah,9C07h,Ah
Difference,9BFAh,1h,9C11h,1h
Match,9BFBh,Fh,9C12h,Fh
Difference,9C0Ah,1h,9C21h,1h
Match,9C0Bh,2h,9C22h,2h
Difference,9C0Dh,1h,9C24h,1h
Match,9C0Eh,Eh,9C25h,Eh
Difference,9C1Ch,1h,9C33h,1h
Match,9C1Dh,6h,9C34h,6h
Difference,9C23h,1h,9C3Ah,1h
Match,9C24h,3h,9C3Bh,3h
Difference,9C27h,1h,9C3Eh,1h
Match,9C28h,Bh,9C3Fh,Bh
Difference,9C33h,1h,9C4Ah,1h
Match,9C34h,1Bh,9C4Bh,1Bh
Difference,9C4Fh,1h,9C66h,1h
Match,9C50h,2h,9C67h,2h
Difference,9C52h,1h,9C69h,1h
Match,9C53h,8h,9C6Ah,8h
Difference,9C5Bh,1h,9C72h,1h
Match,9C5Ch,9h,9C73h,9h
Difference,9C65h,1h,9C7Ch,1h
Match,9C66h,2h,9C7Dh,2h
Difference,9C68h,1h,9C7Fh,1h
Match,9C69h,2h,9C80h,2h
Difference,9C6Bh,1h,9C82h,1h
Match,9C6Ch,7h,9C83h,7h
Difference,9C73h,1h,9C8Ah,1h
Match,9C74h,2h,9C8Bh,2h
Difference,9C76h,1h,9C8Dh,1h
Match,9C77h,4h,9C8Eh,4h
Difference,9C7Bh,1h,9C92h,1h
Match,9C7Ch,5h,9C93h,5h
Difference,9C81h,1h,9C98h,1h
Match,9C82h,2h,9C99h,2h
Difference,9C84h,1h,9C9Bh,1h
Match,9C85h,Bh,9C9Ch,Bh
Difference,9C90h,1h,9CA7h,1h
Match,9C91h,2h,9CA8h,2h
Difference,9C93h,2h,9CAAh,2h
Match,9C95h,51h,9CACh,51h
Difference,9CE6h,1h,9CFDh,1h
Match,9CE7h,9h,9CFEh,9h
Difference,9CF0h,1h,9D07h,1h
Match,9CF1h,1h,9D08h,1h
Difference,9CF2h,1h,9D09h,1h
Match,9CF3h,1h,9D0Ah,1h
Difference,9CF4h,1h,9D0Bh,1h
Match,9CF5h,1h,9D0Ch,1h
Difference,9CF6h,1h,9D0Dh,1h
Match,9CF7h,1h,9D0Eh,1h
Difference,9CF8h,1h,9D0Fh,1h
Match,9CF9h,9h,9D10h,9h
Difference,9D02h,1h,9D19h,1h
Match,9D03h,59h,9D1Ah,59h
Difference,9D5Ch,1h,9D73h,1h
Match,9D5Dh,75h,9D74h,75h
Difference,9DD2h,1h,9DE9h,1h
Match,9DD3h,2h,9DEAh,2h
Difference,9DD5h,1h,9DECh,1h
Match,9DD6h,16h,9DEDh,16h
Difference,9DECh,1h,9E03h,1h
Match,9DEDh,2h,9E04h,2h
Difference,9DEFh,1h,9E06h,1h
Match,9DF0h,11h,9E07h,11h
Difference,9E01h,1h,9E18h,1h
Match,9E02h,9h,9E19h,9h
Difference,9E0Bh,1h,9E22h,1h
Match,9E0Ch,4h,9E23h,4h
Difference,9E10h,1h,9E27h,1h
Match,9E11h,6h,9E28h,6h
Difference,9E17h,1h,9E2Eh,1h
Match,9E18h,2h,9E2Fh,2h
